player	team	role	total_points	rank
Pelican	ATL	DPS	472	1
Piggy	HOU	OT	426	1
Shy	HZS	DPS	380	2
Ga9a	CDH	MT	358	1
Kaan	PAR	FS	333	1
Mmonk	CDH	FS	327	2
Nisha	CDH	MS	264	1
Skewed	LAG	MS	240	2
Flora	NYXL	DPS	172	3
Vestola	PAR	OT	169	2
MuZe	LAG	MT	145	2
JJANGGU	HOU	MT	140	3
Aspire	TOR	DPS	134	4
Faith	BOS	MS	103	3
Naga	PAR	DPS	98	5
Dridro	PAR	MS	91	4
ChoiSehwan	GZC	DPS	86	6
Mag	WAS	MT	58	4
Gaebullssi	BOS	OT	43	3
Daan	PAR	MT	39	5
Gwangboong	NYXL	DPS	38	7
Valentine	BOS	DPS	38	7
Joobi	HOU	MS	28	5
Assassin	WAS	DPS	21	8
Farway1987	CDH	FS	20	3
SparkR	LDN	DPS	19	9
Molf1g	LDN	OT	14	4
Ansoonjae	TOR	MS	13	6
Molanran	LAV	DPS	13	10
Na1st	TOR	DPS	13	10
Jimmy	CDH	DPS	12	11
Friday	NYXL	MS	9	7
Silver3	LAV	MT	9	6
Changsik	VAN	MT	8	7
Showcheng	LAV	OT	7	5
Feath5r	NYXL	DPS	6	12
Hadi	LDN	MT	6	8
Teru	VAN	DPS	5	13
Aztac	TOR	FS	4	4
Checkmate	FLA	MT	4	9
Highbee	LAV	MS	4	8
Hybrid	LDN	DPS	4	14
Develop	SHD	DPS	1	15
MYKaylee	GZC	DPS	1	15
Tarocook1e	CDH	DPS	1	15
